Density, ColorClassSize, NumColors, NumVertices, NumEdges, NumStableSets, StableCreationTime, SetCoveringTime, AssignmentTime
0.7, 3, 5, 15, 61, 32, 0.03, 0.06, 0.03
0.7, 3, 10, 30, 284, 177, 0.0, 0.01, 0.01
0.7, 3, 15, 45, 665, 500, 0.02, 0.02, 0.06
0.7, 3, 20, 60, 1221, 1042, 0.0, 0.04, 0.12
0.7, 3, 25, 75, 1891, 2197, 0.0, 0.04, 0.31
0.7, 3, 30, 90, 2752, 3612, 0.0, 0.05, 0.3
0.7, 3, 35, 105, 3727, 6081, 0.0, 0.05, 0.66
0.7, 3, 40, 120, 4929, 8304, 0.0, 0.11, 0.52
0.7, 3, 45, 135, 6230, 12244, 0.0, 0.11, 1.05
0.7, 3, 50, 150, 7672, 16815, 0.02, 0.17, 1.06
