Density, ColorClassSize, NumColors, NumVertices, NumEdges, NumStableSets, StableCreationTime, SetCoveringTime, AssignmentTime
0.5, 4, 5, 20, 74, 219, 0.04, 0.08, 0.03
0.5, 4, 10, 40, 362, 1973, 0.01, 0.04, 0.03
0.5, 4, 15, 60, 873, 8492, 0.0, 0.19, 0.09
0.5, 4, 20, 80, 1515, 33277, 0.0, 0.59, 0.22
0.5, 4, 25, 100, 2361, 80741, 0.03, 0.91, 0.51
0.5, 4, 30, 120, 3508, 142753, 0.03, 4.13, 0.88
0.5, 4, 35, 140, 4780, 267185, 0.03, 3.39, 0.51
0.5, 4, 40, 160, 6244, 460992, 0.08, 5.96, 0.79
0.5, 4, 45, 180, 7956, 701760, 0.1, 9.05, 1.16
0.5, 4, 50, 200, 9770, 1126461, 0.16, 73.33, 1.63
