Density, ColorClassSize, NumColors, NumVertices, NumEdges, NumStableSets, StableCreationTime, SetCoveringTime, AssignmentTime
0.5, 6, 2, 12, 21, 3, 0.02, 0.05, 0.01
0.5, 6, 4, 24, 108, 75, 0.0, 0.01, 0.01
0.5, 6, 6, 36, 287, 167, 0.0, 0.01, 0.02
0.5, 6, 8, 48, 525, 931, 0.0, 0.13, 0.08
0.5, 6, 10, 60, 804, 4415, 0.01, 0.75, 0.1
0.5, 6, 12, 72, 1178, 13490, 0.01, 1.89, 0.29
0.5, 6, 14, 84, 1644, 27909, 0.02, 0.97, 0.35
0.5, 6, 16, 96, 2172, 50830, 0.03, 1.81, 0.59
0.5, 6, 18, 108, 2765, 104471, 0.05, 6.53, 0.38
