Density, ColorClassSize, NumColors, NumVertices, NumEdges, NumStableSets, StableCreationTime, SetCoveringTime, AssignmentTime
0.9, 3, 10, 30, 364, 26, 0.03, 0.02, 0.05
0.9, 3, 20, 60, 1526, 110, 0.0, 0.01, 0.2
0.9, 3, 30, 90, 3552, 182, 0.0, 0.0, 0.48
0.9, 3, 40, 120, 6311, 438, 0.0, 0.04, 24.25
0.9, 3, 50, 150, 9954, 740, 0.0, 0.07, 26.17
0.9, 3, 60, 180, 14359, 1268, 0.0, 0.17, 34.6
0.9, 3, 70, 210, 19603, 1950, 0.0, 0.21, 36.14
0.9, 3, 80, 240, 25578, 2921, 0.0, 0.22, 48.67
0.9, 3, 90, 270, 32525, 3751, 0.0, 0.25, 85.35
0.9, 3, 100, 300, 40094, 5177, 0.0, 0.31, 116.82
