Density, ColorClassSize, NumColors, NumVertices, NumEdges, NumStableSets, StableCreationTime, SetCoveringTime, AssignmentTime
0.7, 5, 10, 50, 792, 58, 0.03, 0.03, 0.07
0.7, 5, 15, 75, 1889, 233, 0.0, 0.0, 0.28
0.7, 5, 20, 100, 3327, 1239, 0.02, 0.14, 155.24
0.7, 5, 25, 125, 5282, 2766, 0.0, 8.63, -1.0
0.7, 5, 30, 150, 7592, 5930, 0.02, 16.51, -1.0
0.7, 5, 35, 175, 10444, 11620, 0.01, 30.19, -1.0
0.7, 5, 40, 200, 13640, 23989, 0.03, 74.47, -1.0
0.7, 5, 45, 225, 17411, 36206, 0.02, 119.98, -1.0
0.7, 5, 50, 250, 21553, 58536, 0.09, 189.67, -1.0
