Density, ColorClassSize, NumColors, NumVertices, NumEdges, NumStableSets, StableCreationTime, SetCoveringTime, AssignmentTime
0.4, 8, 2, 16, 24, 2, 0.02, 0.05, 0.01
0.4, 8, 3, 24, 83, 5, 0.0, 0.0, 0.01
0.4, 8, 4, 32, 162, 198, 0.0, 0.01, 0.01
0.4, 8, 5, 40, 248, 1062, 0.0, 0.02, 0.01
0.4, 8, 6, 48, 361, 6147, 0.01, 0.57, 0.03
0.4, 8, 7, 56, 549, 5067, 0.01, 1.77, 0.94
0.4, 8, 8, 64, 723, 23142, 0.02, 20.88, 1.75
0.4, 8, 9, 72, 903, 43727, 0.05, 15.44, 0.6
0.4, 8, 10, 80, 1092, 128586, 0.08, 19.5, 0.16
