Density, ColorClassSize, NumColors, NumVertices, NumEdges, NumStableSets, StableCreationTime, SetCoveringTime, AssignmentTime
0.9, 5, 10, 50, 1005, 10, 0.03, 0.06, 0.08
0.9, 5, 20, 100, 4283, 21, 0.0, 0.01, 0.24
0.9, 5, 30, 150, 9784, 33, 0.02, 0.02, 1.0
0.9, 5, 40, 200, 17580, 43, 0.0, 0.0, 2.29
0.9, 5, 50, 250, 27509, 63, 0.0, 0.0, 61.34
0.9, 5, 60, 300, 39848, 73, 0.0, 0.0, 318.1
0.9, 5, 70, 350, 54257, 104, 0.0, 0.01,  
0.9, 5, 80, 400, 71058, 118, 0.0, 0.01, 
0.9, 5, 90, 450, 90215, 134, 0.01, 0.01,
0.9, 5, 100, 500, 111525, 174, 0.01, 0.02,
