Density, ColorClassSize, NumColors, NumVertices, NumEdges, NumStableSets, StableCreationTime, SetCoveringTime, AssignmentTime
0.7, 4, 10, 40, 492, 216, 0.04, 0.09, 0.05
0.7, 4, 20, 80, 2163, 1511, 0.0, 0.14, 0.99
0.7, 4, 30, 120, 4829, 9390, 0.0, 0.15, 1.13
0.7, 4, 40, 160, 8707, 25351, 0.02, 0.89, 4.31
0.7, 4, 50, 200, 13789, 53223, 0.01, 2.34, 8.0
0.7, 4, 60, 240, 19956, 107269, 0.02, 5.56, 13.69
0.7, 4, 70, 280, 26931, 222142, 0.04, 12.59, 18.04
0.7, 4, 80, 320, 35489, 342747, 0.06, 22.17, 32.39
0.7, 4, 90, 360, 44871, 563240, 0.1, 52.72, 50.47
0.7, 4, 100, 400, 55588, 819751, 0.19, 86.91, 67.65
