Density, ColorClassSize, NumColors, NumVertices, NumEdges, NumStableSets, StableCreationTime, SetCoveringTime, AssignmentTime
0.9, 10, 10, 100, 4072, 10, 0.03, 0.03, 0.16
0.9, 10, 15, 150, 9418, 15, 0.0, 0.0, 0.38
0.9, 10, 20, 200, 17193, 20, 0.0, 0.0, 0.75
0.9, 10, 25, 250, 27057, 25, 0.0, 0.0, 1.52
0.9, 10, 30, 300, 38976, 30, 0.01, 0.0, 2.7
0.9, 10, 35, 350, 53483, 35, 0.0, 0.01, 4.91
0.9, 10, 40, 400, 70148, 40, 0.0, 0.02, 7.93
0.9, 10, 45, 450, 89090, 45, 0.01, 0.01, 12.51
0.9, 10, 50, 500, 110185, 50, 0.0, 0.0, 18.09
