Density, ColorClassSize, NumColors, NumVertices, NumEdges, NumStableSets, StableCreationTime, SetCoveringTime, AssignmentTime
0.5, 5, 2, 10, 10, 26, 0.02, 0.05, 0.01
0.5, 5, 4, 20, 82, 88, 0.0, 0.01, 0.01
0.5, 5, 6, 30, 191, 340, 0.0, 0.01, 0.02
0.5, 5, 8, 40, 361, 1450, 0.0, 0.09, 0.03
0.5, 5, 10, 50, 563, 5454, 0.01, 0.15, 0.04
0.5, 5, 12, 60, 785, 14109, 0.01, 0.39, 0.07
0.5, 5, 14, 70, 1145, 17204, 0.01, 0.54, 0.11
0.5, 5, 16, 80, 1493, 40896, 0.01, 1.05, 0.18
0.5, 5, 18, 90, 1926, 59190, 0.01, 1.67, 0.26
0.5, 5, 20, 100, 2337, 123418, 0.03, 3.83, 0.47
