Density, ColorClassSize, NumColors, NumVertices, NumEdges, NumStableSets, StableCreationTime, SetCoveringTime, AssignmentTime
0.5, 5, 5, 25, 118, 325, 0.04, 0.07, 0.03
0.5, 5, 10, 50, 539, 5226, 0.01, 0.13, 0.04
0.5, 5, 15, 75, 1344, 25163, 0.01, 0.63, 0.15
0.5, 5, 20, 100, 2352, 110075, 0.04, 3.1, 0.43
0.5, 5, 25, 125, 3790, 285746, 0.05, 8.9, 1.01
0.5, 5, 30, 150, 5415, 742892, 0.13, 57.73, 1.83
0.5, 5, 35, 175, 7421, 1588107, 0.32, 117.36, 1.32
0.5, 5, 40, 200, 9727, 3086443, 0.49, 280.96, 3.74
0.5, 5, 45, 225, 12476, 4966672, 0.83, -1.0, 2.97
0.5, 5, 50, 250, 15362, -1, -1.0, -1.0, 7.81
