Density, ColorClassSize, NumColors, NumVertices, NumEdges, NumStableSets, StableCreationTime, SetCoveringTime, AssignmentTime
0.4, 7, 2, 14, 13, 77, 0.02, 0.05, 0.01
0.4, 7, 3, 21, 61, 62, 0.0, 0.0, 0.01
0.4, 7, 4, 28, 125, 162, 0.0, 0.01, 0.01
0.4, 7, 5, 35, 181, 4349, 0.01, 0.26, 0.02
0.4, 7, 6, 42, 278, 5264, 0.01, 0.45, 0.02
0.4, 7, 7, 49, 406, 18274, 0.01, 1.54, 0.04
0.4, 7, 8, 56, 555, 20912, 0.01, 4.01, 0.12
0.4, 7, 9, 63, 680, 55097, 0.02, 2.68, 0.04
0.4, 7, 10, 70, 870, 107104, 0.04, 6.08, 0.06
