Density, ColorClassSize, NumColors, NumVertices, NumEdges, NumStableSets, StableCreationTime, SetCoveringTime, AssignmentTime
0.5, 3, 5, 15, 40, 107, 0.03, 0.06, 0.03
0.5, 3, 10, 30, 218, 494, 0.0, 0.0, 0.03
0.5, 3, 15, 45, 467, 2061, 0.01, 0.04, 0.05
0.5, 3, 20, 60, 865, 4576, 0.01, 0.06, 0.14
0.5, 3, 25, 75, 1353, 8934, 0.0, 0.09, 0.26
0.5, 3, 30, 90, 1979, 15111, 0.0, 0.15, 0.48
0.5, 3, 35, 105, 2656, 25309, 0.01, 0.25, 0.73
0.5, 3, 40, 120, 3544, 35870, 0.01, 0.38, 0.48
0.5, 3, 45, 135, 4476, 51680, 0.02, 0.64, 0.59
0.5, 3, 50, 150, 5595, 68521, 0.02, 0.76, 0.93
