Density, ColorClassSize, NumColors, NumVertices, NumEdges, NumStableSets, StableCreationTime, SetCoveringTime, AssignmentTime
0.7, 3, 10, 30, 272, 200, 0.02, 0.06, 0.04
0.7, 3, 20, 60, 1194, 1162, 0.0, 0.02, 0.15
0.7, 3, 30, 90, 2715, 3824, 0.0, 0.05, 0.25
0.7, 3, 40, 120, 4888, 8794, 0.0, 0.11, 0.86
0.7, 3, 50, 150, 7751, 16040, 0.0, 0.36, 1.54
0.7, 3, 60, 180, 11210, 26863, 0.01, 0.66, 2.87
0.7, 3, 70, 210, 15245, 42989, 0.01, 1.17, 3.25
0.7, 3, 80, 240, 19895, 65474, 0.0, 1.66, 4.98
0.7, 3, 90, 270, 25198, 92546, 0.0, 2.92, 10.32
0.7, 3, 100, 300, 31164, 126583, 0.02, 4.33, 14.38
