Density, ColorClassSize, NumColors, NumVertices, NumEdges, NumStableSets, StableCreationTime, SetCoveringTime, AssignmentTime
0.5, 10, 2, 20, 50, 2, 0.02, 0.05, 0.01
0.5, 10, 3, 30, 160, 4, 0.0, 0.0, 0.01
0.5, 10, 4, 40, 295, 5, 0.0, 0.01, 0.01
0.5, 10, 5, 50, 525, 7, 0.0, 0.01, 0.01
0.5, 10, 6, 60, 775, 9, 0.01, 0.01, 0.03
0.5, 10, 7, 70, 1040, 16, 0.01, 0.01, 0.05
0.5, 10, 8, 80, 1397, 115, 0.01, 0.01, 0.07
0.5, 10, 9, 90, 1754, 48, 0.02, 0.02, 0.3
0.5, 10, 10, 100, 2250, 149, 0.01, 0.02, 0.5
